voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,dqdv,capacity
3.2439361669782594,0.31061721654167473,-1.1053481656987996,-0.11320243163867325,-3065.366105179779,2640.735,-8.656588791919433e-05,5.04290384883666,-1.1715210918629737,0.9797662282686106,-1.868240804429504,0.3629778207603676,-0.000280497969542848,9.438000000000002,4.020047510592073e-05,0.9768740126265281,542655.1282855592,1.319892156462878
3.2904290284649416,0.25972402853725535,1.268462135633742,-0.37445843263048034,-4923.371071703845,2806.484,-0.00016222352972256407,5.167879742191311,-1.7486007645883601,0.6481554399427039,3.4424378098757495,2.3328971831338694,-0.014945065819362585,9.313000000000002,5.550430013890005e-05,0.5305133991619896,108348.10306779279,1.2769832801132017
3.326231366449631,0.2804986487872958,0.9199092690984987,-0.5265658843410778,-4788.07225932103,2798.89,-0.00016690654926355757,5.523543312140261,-1.7060235650197326,0.6949630234440948,2.2129706244673866,2.0525463722518307,-0.00817790778852245,9.390999999999998,6.02339427098054e-05,0.5891721419909849,30952.40813026733,1.2572591312230865
3.338535407708074,0.269562738008131,1.151000151970404,-0.5140318528082709,-4678.381286783309,2694.047,-0.00017575334999870814,5.58431389162727,-1.7298155313553947,0.6696501792059064,2.825474525091061,2.196691766487615,-0.015747296269436245,9.374999999999998,6.083837981881614e-05,0.5582102155269119,19364.765614098316,1.206763751299412
3.3690503311576365,0.2856551572815346,0.9785187032971518,-0.650881988552496,-4517.786584714052,2766.812,-0.00016465965383241513,5.526498307086949,-1.630519419462631,0.7650246980134167,0.7770928074235282,1.6664561177907844,-0.01041720800506244,9.328000000000005,6.468634601168112e-05,0.6799256294479967,20897.582330989087,1.2077322536103197
3.3596802370189534,0.2771173321585299,1.0879752302031545,-0.5967319576438751,-4501.700690850862,2648.172,-0.00016757137786555226,5.6258198716386625,-1.6935037519026295,0.7075370634776282,1.9061735572102494,1.9764003266051544,-0.0026244628740403207,9.296999999999995,7.716861295247907e-05,0.6062015776763011,15560.88631724176,1.2009614290093835
3.331138062731705,0.27949184736296306,1.298886236728272,-0.7037168668743529,-4538.091362622345,2510.281,-0.00018652288905780337,5.701404061656302,-1.796982266620521,0.5873285000030485,5.506336740526432,2.7397591634805902,-0.01849568267882392,9.391000000000002,6.627164737296497e-05,0.4566836315394397,15968.851383005353,1.189059086549973
3.335155652675837,0.27652318741656445,1.349229067066731,-0.6696853124088713,-4454.827200533794,2426.203,-0.00018700706683019597,5.737669878660632,-1.8221216958276871,0.5510499101272549,7.043682298871309,3.0072639571382838,-0.009233094772745074,9.327999999999996,8.883431372538864e-05,0.4149643603429611,14805.61480999595,1.169708782604433
3.3970397549525346,0.27739571317568057,1.0444295960191994,-0.6470139164447499,-4329.096548496491,2693.391,-0.00017110893749819485,5.608609373846366,-1.60517659481492,0.7856439222074226,0.4274201468282679,1.558012556114805,-0.03144725211741277,9.296,5.543679201929249e-05,0.7071419668790286,13021.440390470909,1.1483647194613424
3.3803008994123225,0.29578781889110484,0.9773828469015133,-0.7496744316442921,-4332.060724397088,2656.609,-0.00016805437231002463,5.662041234105954,-1.6273590433187917,0.7678264524895696,0.7319152056712297,1.652843294630989,-0.023135481842542494,9.344,6.85929868021644e-05,0.6833072711724946,15388.624678927381,1.1527726060972296
